0	1	2
1	1	12
2	2	3
3	2	13
4	3	4
5	3	14
6	4	5
7	4	15
8	5	6
9	5	15
10	5	16
11	6	7
12	6	9
13	7	8
14	7	10
15	8	11
16	9	10
17	9	17
18	10	11
19	10	23
20	11	24
21	12	13
22	12	18
23	13	19
24	14	15
25	14	20
26	15	16
27	16	17
28	16	21
29	17	22
30	18	19
31	18	25
32	19	26
33	20	21
34	20	33
35	21	27
36	21	33
37	22	23
38	22	28
39	23	24
40	23	30
41	24	31
42	25	26
43	25	38
44	26	32
45	27	28
46	27	34
47	28	29
48	29	30
49	29	41
50	29	42
51	30	31
52	31	42
53	32	33
54	32	35
55	33	34
56	34	37
57	35	36
58	35	39
59	36	37
60	36	45
61	37	40
62	38	39
63	38	43
64	39	44
65	40	41
66	40	46
67	41	42
68	41	47
69	42	48
70	43	44
71	44	45
72	45	46
73	46	47
74	47	48
